"Daily Weather Observations for Canberra, Australian Capital Territory for October 2017",,,,,,,,,,,,,,,,,,,,,
Prepared at 13:01 UTC on Tuesday 11 September 2018   IDCJDW2801.201710,,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Date,Minimum temperature (¡C),Maximum temperature (¡C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (¡C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (¡C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,24/04/18,4.4,26,0,,,,,,13.2,71,,ESE,4,1021.4,25.6,32,,NNW,13,1016.6
,25/04/18,5.6,27,0,,,ENE,26,17:29,16.4,57,,WNW,6,1018.3,25.7,24,,NW,9,1013.6
,26/04/18,7.1,23.7,0,,,E,43,18:14,13.7,78,,NNW,7,1017.3,23,24,,NNE,11,1014.8
,27/04/18,10.3,19.7,0,,,ENE,35,16:29,14.5,60,4,SSE,13,1024.3,18.6,39,,E,15,1022.9
,28/04/18,4.5,20,0,,,E,33,11:59,12.3,61,,E,6,1027.8,18.6,46,6,E,20,1023.9
,29/04/18,2.9,19.3,0,,,SW,35,15:49,11.5,74,8,SSE,7,1027,14.2,66,8,SSE,20,1024.2
,30/04/18,2.9,19.8,5,,,SE,19,03:48,10.4,72,,SSE,2,1028.2,19.4,28,,WNW,7,1025.4
,01/05/18,0.7,22.9,0,,,N,17,13:46,9.7,61,,ESE,9,1028.4,22.7,24,,NNW,9,1024.8
,02/05/18,5,20.2,0,,,NNW,31,13:55,9.7,75,8, ,Calm,1023.6,19.8,43,3,NNW,26,1020
,03/05/18,4.3,24.5,0,,,NW,41,13:23,11.6,76,, ,Calm,1021.4,23.7,31,1,NNW,31,1016.1
,04/05/18,11.6,16.5,6,,,NW,72,11:41,12.8,95,8,NNW,31,1013,13.2,58,8,NW,35,1016.8
,05/05/18,2.6,19.1,2,,,NW,33,01:18,9.4,67,,SSW,2,1029.1,18.6,42,,N,11,1027.1
,06/05/18,-0.1,19.8,0,,,WNW,22,14:02,8.6,71,,SE,6,1033.5,19.1,29,,NNW,11,1029.3
,07/05/18,0,19.9,0,,,NW,48,15:41,6,88,,N,2,1026.9,19.5,33,,NW,31,1020.4
,08/05/18,6,22.6,0,,,NW,31,14:20,10.3,83,8,SSE,6,1023.7,20.3,39,8,NNW,24,1021.9
,09/05/18,2.5,20.8,0,,,NNW,43,13:17,9.7,85,, ,Calm,1022.9,19.4,28,,NW,24,1017.8
,10/05/18,2.4,15.6,0,,,NW,52,11:16,12.9,60,,NNW,26,1011.1,9.1,79,4,NNW,26,1008.4
,11/05/18,2.4,12.3,3.6,,,WNW,48,10:43,4.8,82,5,NNW,24,1009,7,72,8,NW,28,1008.3
,12/05/18,4.6,13,0.2,,,SSW,63,11:06,11.4,69,8,S,13,1012.1,11.5,75,6,SSW,17,1015.4
,13/05/18,8.6,17,0.2,,,SSW,57,05:47,11.7,58,,S,43,1023.2,15.9,40,1,S,33,1023
,14/05/18,1.2,17.7,0,,,S,30,02:29,9,70,,SSE,15,1028.8,17.3,30,,WNW,6,1024.7
,15/05/18,-1.9,15.5,0,,,N,20,13:13,4.3,91,,NNW,6,1025.1,14.6,49,,NNW,6,1022
,16/05/18,-1.3,15.3,0,,,SSW,35,11:42,7.7,69,,SE,13,1028.8,14.7,38,,WNW,11,1026.2
,17/05/18,-2.1,15.7,0,,,N,33,15:03,5,80,,NNW,2,1027.5,14.7,48,,NNW,22,1022.9
,18/05/18,-1.8,18.1,0,,,WNW,39,16:21,5.1,84,, ,Calm,1023.8,16.7,46,,N,13,1020.4
,19/05/18,1.7,15.2,0,,,N,37,15:59,4,98,7,SE,6,1025.4,14.5,52,1,NNW,24,1020.9
,20/05/18,-1.1,17,0,,,WNW,39,14:19,5.4,92,8, ,Calm,1022,14.9,41,,NW,28,1018.5
,21/05/18,5.4,16.9,0,,,WNW,44,10:35,13.8,53,5,NW,22,1020.6,15.7,43,,WNW,28,1018.8
,22/05/18,6.8,20.3,0,,,WSW,43,14:59,10.6,71,,NNW,19,1021.7,18.7,41,,WSW,28,1019.8
,23/05/18,2.2,16.8,0,,,NNW,22,12:24,6.6,99,8,E,7,1027.7,15.6,64,,NW,9,1023.7
,24/05/18,2,16.9,0,,,WNW,17,14:09,6.9,99,8,NE,2,1026.8,16.2,54,,W,7,1023
,25/05/18,2.1,16.5,0,,,NE,26,13:16,8.2,79,8, ,Calm,1030.4,15.9,45,,ENE,11,1027.7
,26/05/18,0.7,17.2,0,,,NW,15,23:55,6.3,93,8,ESE,9,1031.1,15.8,54,,WSW,4,1027.8
,27/05/18,-2.4,17.3,0,,,WNW,19,14:21,5.8,87,, ,Calm,1030.1,16.4,43,1,NW,13,1026.5
,28/05/18,2.9,17.7,0,,,N,30,13:50,7.4,81,4,SW,6,1026.4,16.5,46,7,N,15,1022.6
,29/05/18,-0.1,17.1,0,,,NW,37,10:47,6.3,85,1,SSW,2,1020.7,12.8,82,8,N,24,1017.6
,30/05/18,1,13.4,3,,,SSW,35,11:37,5,99,8,NNW,2,1020.9,12.6,51,6,WNW,13,1019.5
,31/05/18,3.3,13.3,0,,,SSW,54,13:28,7.6,80,3,NNW,2,1022.5,12.4,40,,S,22,1022.8
1,01/06/18,3.3,12.6,0,,,S,46,23:18,7.2,66,7,S,28,1027,11.3,52,8,S,22,1025.8
,02/06/18,2.4,13.3,0,,,SSE,59,08:59,10,66,1,SSE,37,1023.4,11.4,62,8,S,31,1022.6
,03/06/18,5.3,14.3,0,,,SSE,28,00:53,9.6,74,8,SSE,15,1024.3,13.6,57,8,SE,7,1021.8
,04/06/18,4.2,14.9,0,,,W,24,16:05,9.2,82,8,SSE,9,1022.6,14.1,56,8, ,Calm,1020.9
,05/06/18,2.6,13,1.4,,,ESE,35,14:45,8.2,77,,SSE,15,1028.7,11.4,71,8,ESE,26,1028.3
,06/06/18,4.8,15.9,0,,,E,35,13:07,9.9,89,6,SE,11,1032.8,13.9,64,8,E,17,1031.2
,07/06/18,2.2,16.6,0,,,NNE,26,12:11,7.7,99,7, ,Calm,1033.7,15.5,54,8,NNW,11,1028.5
,08/06/18,3.6,13,0,,,NW,43,09:12,11.8,71,8,NNW,24,1025.2,11.3,80,8,NW,17,1022.4
,09/06/18,8.6,13.2,4.4,,,NNW,22,00:37,9.1,99,8,NNE,7,1023.9,12.3,72,2,W,7,1022.6
,10/06/18,3.4,15.1,1.4,,,SE,30,15:49,7.9,81,,SE,9,1028.6,14.4,47,,ESE,17,1026.3
,11/06/18,0.8,14.4,0,,,ENE,22,18:01,6.8,89,,N,6,1026.6,13.2,44,2,E,7,1021.7
,12/06/18,0.3,10.9,2.2,,,NNW,33,13:57,5.1,99,8,ENE,4,1014.2,10.2,85,8,NNW,17,1009.8
,13/06/18,5,14.1,1.4,,,WNW,39,13:01,9.2,90,1,NW,20,1012.1,11.4,56,8,WNW,20,1010.9
,14/06/18,6,12.1,0,,,WNW,46,14:57,9.7,69,2,NNW,17,1015.3,11,51,1,W,30,1014.8
,15/06/18,7.1,10.9,0.8,,,NW,56,14:51,7.5,91,8,NNW,35,1014.7,10,59,1,NW,35,1012.8
,16/06/18,4.6,9.9,3.8,,,WNW,48,00:20,6.7,84,,NNW,24,1016.8,7.6,68,8,WNW,28,1013.5
,17/06/18,2.2,8.5,1.4,,,NW,50,12:59,4.9,78,5,NNW,28,1012.3,5.8,78,8,NNW,24,1012
,18/06/18,2.2,13.3,0.2,,,SSW,52,11:39,8.5,71,1,SSE,22,1019.5,10.8,66,4,S,15,1020.7
,19/06/18,3,12.8,0.2,,,S,50,01:57,7.6,72,7,SSW,30,1026.5,12.5,55,8,S,26,1026.5
,20/06/18,1.1,14,0,,,SSE,24,02:45,5.7,93,, ,Calm,1030.8,13.3,46,,NNW,7,1028.4
,21/06/18,-4.1,12.7,0,,,N,20,14:57,1,94,,ESE,2,1031,11.3,50,,N,17,1027.9
,22/06/18,-5.1,13.4,0,,,NNW,28,14:44,0.6,90,,NNW,4,1030.2,12.7,46,,NNW,19,1026.6
,23/06/18,-5.1,13.4,0.2,,,NNW,28,14:34,-0.5,99,8,NE,4,1027.6,13.2,38,,NW,15,1024.2
,24/06/18,-5.7,13.3,0,,,NW,15,13:01,-2.1,99,8,N,2,1029.6,13,38,,WNW,9,1026.5
,25/06/18,-5.6,12.5,0.2,,,SE,17,22:02,0.3,84,,N,4,1032.7,11.9,40,,W,9,1030
,26/06/18,-4.9,14.2,0,,,NE,20,14:10,0,92,6,SSW,2,1036.2,13.9,42,,NNW,11,1032.3
,27/06/18,0,15.7,0,,,NNE,30,12:34,7.4,85,8,SE,7,1034.1,13.6,53,1,NE,13,1029.1
,28/06/18,7.4,13.3,9.6,,,NE,37,08:49,10,92,8,NNE,22,1025.5,11,73,4,N,9,1022
,29/06/18,0.9,11.4,0.6,,,NNW,35,14:01,4.5,99,,SSW,6,1022.2,9.8,63,8,NW,26,1020.5
,30/06/18,4.4,12,0,,,WNW,56,14:09,8,85,2,NNW,28,1021.6,9.4,56,1,WNW,33,1022.5
,01/07/18,-3.4,12.2,0,,,N,15,00:14,0.8,99,8,ESE,6,1033.2,11.9,48,,NNW,7,1030.3
,02/07/18,-3.2,13.5,0,,,ESE,22,07:29,2.3,81,,E,9,1034.1,12.7,49,3,NE,2,1030.7
,03/07/18,-2.5,13.4,0.2,,,N,30,15:07,1.8,99,2,NNE,4,1032.4,13.1,49,,N,19,1028.5
,04/07/18,-3.6,15.8,0,,,N,37,14:52,1,97,,N,6,1029.9,15.2,42,,N,28,1025.3
,05/07/18,-2.4,18.2,0,,,NW,54,13:42,2.2,99,, ,Calm,1024.3,17,53,,NNW,33,1018.5
,06/07/18,2.2,15.2,0.2,,,NNW,63,01:15,13,75,2,NW,31,1009.8,9.7,76,6,NNW,35,1010.5
,07/07/18,3.9,10.3,1.4,,,NW,57,13:34,7.1,73,3,NNW,37,1009.4,7.9,69,8,NW,26,1008.7
,08/07/18,4.6,12.6,0,,,W,57,02:46,7.4,68,6,N,28,1015.8,10.4,54,,WNW,31,1015.7
,09/07/18,-2.5,13,0,,,WNW,26,02:49,4.4,87,,NW,4,1025.7,12.7,43,,W,11,1025
,10/07/18,-4.7,12.3,0,,,NNW,33,13:05,1.1,84,,NNW,7,1030.5,11.7,48,,NNW,17,1026.4
,11/07/18,-6.3,12.8,0,,,NW,35,13:21,-1.4,96,, ,Calm,1026.2,11.8,44,5,NW,20,1023.1
,12/07/18,-4.8,11.6,0,,,NNW,31,16:37,2,80,1,E,7,1022.8,9.6,47,8,NNW,17,1018.7
,13/07/18,-5,12.7,0,,,N,22,15:52,1.4,92,, ,Calm,1019.3,12.2,48,,NNW,15,1017.4
,14/07/18,-6.5,11.4,0,,,NW,24,15:03,0,87,, ,Calm,1022.4,10.3,46,,NW,17,1018.5
,15/07/18,-4.8,10.1,0,,,N,31,14:19,0.1,91,7,NNW,9,1019,9.5,50,,NNW,20,1014.9
,16/07/18,-7.3,10.6,0,,,NNW,39,15:12,-1,93,7, ,Calm,1015.4,10.2,45,8,NNW,26,1012.9
,17/07/18,-4.9,15.7,0.2,,,NNW,72,21:09,3.5,75,,SSW,6,1016.7,15.3,25,,NW,33,1011.6
,18/07/18,0.2,12.8,0,,,WNW,50,01:02,6.9,58,,NW,19,1018.8,11.9,42,,NW,28,1018.2
,19/07/18,1.2,14.1,0,,,NNW,44,13:02,6.6,67,,SW,6,1017.4,13.6,38,,NW,30,1013.5
,20/07/18,0.6,10.7,0.6,,,NNW,63,01:48,7.4,77,8,WNW,20,1006.7,7.3,53,,WNW,37,1010.8
,21/07/18,1.6,12.4,0.4,,,WNW,46,00:09,6.4,64,,NW,17,1022.4,11.2,42,,NW,24,1021.7
,22/07/18,-6.2,10.6,0,,,NNW,28,14:52,-0.8,99,8, ,Calm,1026.2,10.1,45,,NNW,19,1021.3
,23/07/18,-7.4,12.8,0,,,NNW,44,14:29,-1.3,86,, ,Calm,1021.2,10.2,42,6,N,28,1015.1
,24/07/18,-1.3,14.9,0,,,NW,67,00:38,10.2,55,,NNW,15,1015,13.1,47,,NW,44,1013.4
,25/07/18,9.5,15.8,0.2,,,WNW,57,10:38,12.3,56,3,NNW,20,1017.2,14.8,43,,WNW,28,1016.7
,26/07/18,-2.1,14.3,0,,,WNW,39,16:33,4.2,81,,ESE,4,1021.3,14,41,,NW,13,1017.1
,27/07/18,-4.9,16.2,0,,,WNW,41,14:47,1.8,87,,NNE,4,1019.6,15.2,37,1,WNW,26,1015.7
,28/07/18,-3.3,16.5,0,,,NW,31,14:15,2.4,91,4, ,Calm,1019.4,16,43,1,WNW,15,1014.6
,29/07/18,2.4,14,3.8,,,NW,72,15:24,10.2,79,8,NNW,35,1007.7,11.5,55,7,WNW,30,1007.5
,30/07/18,4.2,11.5,0.8,,,WNW,48,01:22,7.1,56,,NW,26,1016.9,10.2,48,,NW,30,1017.1
,31/07/18,3,15.4,0,,,NW,63,13:15,7.9,63,,NNW,35,1016,13.3,50,8,NW,37,1014.4
,01/08/18,7.6,15.4,0,,,NW,54,01:38,10.9,54,,WNW,22,1018.7,14.7,32,,NW,19,1018.7
,02/08/18,-3.8,14.3,0,,,NNW,26,12:23,3.3,87,1, ,Calm,1026.8,13.7,43,,NE,9,1021.9
,03/08/18,-3.6,19.5,0,,,NW,72,20:56,3.7,84,, ,Calm,1018.1,17.9,35,4,NNW,39,1009.9
,04/08/18,3.7,12.8,13.8,,,NNW,54,04:50,7.8,77,8,NNW,24,1016.8,11.6,52,5,WNW,22,1016.1
,05/08/18,-1,15,0,,,NW,43,12:19,5,85,, ,Calm,1018.4,14.6,48,,NW,24,1011.8
,06/08/18,1.2,13.7,0,,,NW,61,10:48,9.2,72,8,N,28,1005.4,10.9,44,8,WNW,31,1003.5
,07/08/18,2.4,9.7,6.6,,,WNW,61,14:52,4.9,90,5,NW,30,1009.5,8.8,54,,WNW,44,1010.4
,08/08/18,2.6,12.1,0,,,WNW,70,12:45,6.5,65,8,NW,30,1014.9,9.9,60,8,WNW,35,1013.7
,09/08/18,1.6,13.7,0,,,NNW,30,00:40,6.3,94,7,SSW,9,1024.3,12.9,50,,N,15,1022.2
,10/08/18,-2.5,15.6,0.2,,,NNW,43,12:16,0.5,99,8, ,Calm,1023.6,14.9,42,,NW,28,1017.7
,11/08/18,0.4,16.4,0,,,NW,59,10:48,8.9,63,1,SE,7,1011.4,13.2,45,8,NNW,37,1008.1
,12/08/18,1.4,11.7,3,,,WNW,46,14:08,6.4,72,,W,17,1016.9,10.7,39,1,WNW,31,1018.1
,13/08/18,2.4,13.8,0,,,WNW,52,14:23,7.6,76,,NNW,26,1022.9,12.5,54,,WNW,35,1022.1
,14/08/18,2.8,16.4,0,,,N,44,13:46,9.6,66,,NW,22,1025,14.9,49,,NNW,28,1020.5
,15/08/18,5.6,16,0,,,NNW,61,11:09,9.9,62,,N,31,1015.9,13.9,46,4,NW,37,1011.4
,16/08/18,6.5,13.8,0,,,WNW,56,06:23,10.3,47,,WNW,20,1013.2,12.5,38,,WNW,30,1012.1
,17/08/18,-5.5,13.4,0,,,WNW,41,13:32,2.7,74,,NNE,2,1017.2,10.7,40,3,WNW,26,1014
,18/08/18,-0.5,11.2,0,,,NW,59,11:22,9.1,55,2,NNW,13,1011.3,8.5,72,8,NW,22,1009.1
,19/08/18,2.7,10.6,3.4,,,W,52,14:33,5.8,59,1,NW,24,1013.2,8.9,44,8,W,24,1014
,20/08/18,-5.7,11.5,0,,,NW,44,19:46,2.6,71,,NNW,2,1022.4,10.4,49,,NNW,28,1018.7
,21/08/18,2.6,12.8,0,,,WNW,52,13:43,7.7,68,3,N,30,1016,10.7,52,,WNW,37,1012.5
,22/08/18,1.7,14,0,,,W,30,00:07,7.8,66,,WNW,7,1017.1,12.3,38,4,N,9,1015.3
,23/08/18,-1.5,12,0,,,E,30,20:19,5.3,81,8,SE,7,1022.4,11.4,45,8,NNE,13,1020.4
,24/08/18,4.1,14.9,0,,,E,37,18:29,9.6,71,7,ENE,7,1024.8,13.3,44,4,ESE,7,1022.3
,25/08/18,4.9,16.1,0,,,N,43,15:57,11.8,69,7,NE,13,1023.3,15.1,57,8,NW,9,1018.9
,26/08/18,4.6,17.6,1.6,,,WNW,31,15:29,8.5,99,3,N,9,1018.7,17,48,,WNW,22,1014.3
,27/08/18,0.2,14,0,,,S,35,09:02,7.7,64,2,SSE,19,1021.8,12,30,4,SSE,19,1020.8
,28/08/18,-3.4,12,0,,,S,39,09:14,5.4,51,3,S,9,1023,10.2,31,1,S,15,1018.1
,29/08/18,-5,13,0,,,SSW,35,09:12,4.8,56,,WSW,6,1020.8,12.3,28,,NNW,13,1017.7
,30/08/18,-6.4,14.8,0,,,WNW,24,14:54,3.6,61,,N,7,1021.5,13.4,27,8,WNW,17,1017.5
,31/08/18,3.6,12.1,0.4,,,NNW,44,16:17,6.7,81,8,SSE,9,1008.2,7.4,99,8,WNW,13,1001.2
,01/09/18,6.1,15,12.4,,,WNW,52,12:16,12.1,66,,NW,28,1008.8,12.7,63,1,NW,28,1009.7
,02/09/18,2,13.7,0,,,ENE,35,19:03,8,66,6,SSE,19,1019.2,13.1,36,,NW,15,1018.5
,03/09/18,0.8,13.9,0,,,E,37,18:48,7.9,57,8,SSE,11,1027.8,12.9,44,8,E,15,1026.1
,04/09/18,1.3,13.9,0,,,ENE,39,13:30,9.2,72,8,ESE,19,1030.4,13.5,59,1,ESE,17,1027.5
,05/09/18,0.8,16.8,0.6,,,NE,31,15:42,8.7,80,8,SW,2,1028.1,15.2,47,8,NE,19,1022.5
,06/09/18,2.9,14.4,0.2,,,NW,35,19:30,9.6,93,8, ,Calm,1020.9,12.2,78,8,SSW,7,1015.7
,07/09/18,9.4,18.6,24.6,,,NNW,35,07:06,14.2,74,,NW,20,1014,17.6,45,3,NNW,22,1012.8
,08/09/18,8.6,13.4,0,,,NE,26,14:29,9.9,76,8,ESE,6,1017.9,11.9,71,8,NNE,13,1016.1
,09/09/18,0.9,16.8,0,,,WNW,50,13:59,10.6,54,6,N,24,1020.4,15.3,43,,WNW,37,1018.5
,10/09/18,0.9,19.7,0,,,WNW,22,15:34,9.9,74,,S,4,1026.8,18.9,42,,N,15,1023.8
,11/09/18,2.2,21.4,0,,,NW,44,12:37,9.6,86,,ENE,2,1022.8,21.3,37,,NNW,31,1017.6
,12/09/18,7.4,21.8,0,,,NW,57,09:50,17.5,47,,NNW,35,1015.7,19.1,37,2,NW,33,1014
,13/09/18,1.4,20.6,0,,,N,28,14:10,10.1,65,,WNW,4,1021,19.7,19,,NNW,19,1018.1
,14/09/18,2.3,20.4,0,,,N,46,15:05,7.3,90,4,N,7,1019.8,19.6,30,,NNW,31,1014.9
,15/09/18,0.4,22.2,0,,,NNW,72,11:07,12.2,54,8,ENE,6,1008.7,16.3,37,7,WNW,28,1005
,16/09/18,0.2,13.7,0,,,WNW,39,00:30,7.1,45,,W,19,1019.2,11.7,31,,NE,9,1018.3
,17/09/18,-2.6,15.1,0,,,NNW,41,14:15,7,59,,NW,4,1025.2,14.5,34,,NNW,22,1020.6
,18/09/18,-2.3,20.4,0,,,NW,54,13:54,10.2,51,,NW,6,1019.1,19.4,20,,NNW,33,1013.2
,19/09/18,4.1,18.4,0,,,NW,57,12:51,16,32,1,NW,24,1009.8,15.7,24,,WNW,31,1010.7
,20/09/18,-2.9,17.5,0,,,WNW,39,16:21,8.3,51,,E,6,1020,16.4,27,,NNE,13,1018.1
,21/09/18,-2.7,19.4,0,,,NNW,35,14:39,8.6,52,,WSW,4,1028.1,18.2,34,,N,24,1024.4
,22/09/18,0.2,21.5,0,,,NNW,41,14:59,10.4,65,,NW,7,1027.8,19.5,36,5,NNW,28,1023.1
,23/09/18,-0.6,22.2,0,,,E,52,16:53,11.7,54,, ,Calm,1026.6,21.6,25,7,ENE,11,1021.8
,24/09/18,3.7,15.9,0.4,,,E,39,18:33,9,52,,SSE,13,1031.2,15.2,37,1,ESE,26,1027.1
,25/09/18,-0.9,17.4,0,,,E,41,18:31,9.6,61,,W,7,1028.4,16.8,30,,NW,13,1022.5
,26/09/18,7.3,15.3,0,,,NE,33,12:49,10.6,61,8,SSE,15,1023.2,13.9,49,8,ESE,17,1020.6
,27/09/18,0,20.3,0,,,NW,41,15:38,8,77,,NW,9,1021.3,18.8,35,2,N,28,1016.6
,28/09/18,0.9,24.7,0,,,NW,57,10:18,18.1,37,3,WNW,9,1016.4,23.1,26,,WNW,33,1012.6
,29/09/18,5.4,15.8,0,,,SSW,41,10:41,11.5,27,,SW,20,1020.1,14.9,26,,S,11,1021.1
,30/09/18,-2.6,18.8,0,,,ENE,33,18:56,9.6,50,,SW,7,1030.7,18.3,26,,W,11,1026.9
